Titulo_Requerido,Fecha_Ejemplo,Planeta1,Aspecto,Planeta2
Luna (directo) por tránsito esta en Sextil a tu Venus Natal,2025-01-02,Luna,Sextil,Venus
Luna (directo) por tránsito esta en Sextil a tu Mercurio Natal,2025-01-02,Luna,Sextil,Mercurio
Luna (directo) por tránsito esta en Cuadratura a tu Neptuno Natal,2025-01-02,Luna,Cuadratura,Neptuno
Luna (directo) por tránsito esta en Trígono a tu Luna Natal,2025-01-02,Luna,Trígono,Luna
Luna (directo) por tránsito esta en Conjunción a tu Saturno Natal,2025-01-03,Luna,Conjunción,Saturno
Luna (directo) por tránsito esta en Sextil a tu Sol Natal,2025-01-04,Luna,Sextil,Sol
Luna (directo) por tránsito esta en Cuadratura a tu Venus Natal,2025-01-04,Luna,Cuadratura,Venus
Luna (directo) por tránsito esta en Oposición a tu Urano Natal,2025-01-04,Luna,Oposición,Urano
Luna (directo) por tránsito esta en Oposición a tu Plutón Natal,2025-01-04,Luna,Oposición,Plutón
Sol (directo) por tránsito esta en Trígono a tu Urano Natal,2025-01-04,Sol,Trígono,Urano
Luna (directo) por tránsito esta en Cuadratura a tu Mercurio Natal,2025-01-05,Luna,Cuadratura,Mercurio
Luna (directo) por tránsito esta en Trígono a tu Neptuno Natal,2025-01-05,Luna,Trígono,Neptuno
Luna (directo) por tránsito esta en Oposición a tu Marte Natal,2025-01-05,Luna,Oposición,Marte
Luna (directo) por tránsito esta en Cuadratura a tu Sol Natal,2025-01-06,Luna,Cuadratura,Sol
Sol (directo) por tránsito esta en Trígono a tu Plutón Natal,2025-01-06,Sol,Trígono,Plutón
Luna (directo) por tránsito esta en Trígono a tu Venus Natal,2025-01-06,Luna,Trígono,Venus
Luna (directo) por tránsito esta en Trígono a tu Mercurio Natal,2025-01-07,Luna,Trígono,Mercurio
Luna (directo) por tránsito esta en Oposición a tu Luna Natal,2025-01-07,Luna,Oposición,Luna
Luna (directo) por tránsito esta en Sextil a tu Saturno Natal,2025-01-07,Luna,Sextil,Saturno
Venus (directo) por tránsito esta en Sextil a tu Sol Natal,2025-01-08,Venus,Sextil,Sol
Luna (directo) por tránsito esta en Trígono a tu Sol Natal,2025-01-08,Luna,Trígono,Sol
Luna (directo) por tránsito esta en Conjunción a tu Júpiter Natal,2025-01-09,Luna,Conjunción,Júpiter
Sol (directo) por tránsito esta en Sextil a tu Neptuno Natal,2025-01-09,Sol,Sextil,Neptuno
Luna (directo) por tránsito esta en Oposición a tu Neptuno Natal,2025-01-09,Luna,Oposición,Neptuno
Luna (directo) por tránsito esta en Cuadratura a tu Saturno Natal,2025-01-10,Luna,Cuadratura,Saturno
Luna (directo) por tránsito esta en Oposición a tu Venus Natal,2025-01-10,Luna,Oposición,Venus
Luna (directo) por tránsito esta en Oposición a tu Mercurio Natal,2025-01-11,Luna,Oposición,Mercurio
Luna (directo) por tránsito esta en Trígono a tu Saturno Natal,2025-01-12,Luna,Trígono,Saturno
Sol (directo) por tránsito esta en Trígono a tu Marte Natal,2025-01-12,Sol,Trígono,Marte
Luna (directo) por tránsito esta en Oposición a tu Sol Natal,2025-01-12,Luna,Oposición,Sol
Luna (directo) por tránsito esta en Sextil a tu Júpiter Natal,2025-01-13,Luna,Sextil,Júpiter
Luna (directo) por tránsito esta en Cuadratura a tu Júpiter Natal,2025-01-15,Luna,Cuadratura,Júpiter
Luna (directo) por tránsito esta en Oposición a tu Saturno Natal,2025-01-16,Luna,Oposición,Saturno
Luna (directo) por tránsito esta en Conjunción a tu Urano Natal,2025-01-17,Luna,Conjunción,Urano
Luna (directo) por tránsito esta en Conjunción a tu Plutón Natal,2025-01-18,Luna,Conjunción,Plutón
Luna (directo) por tránsito esta en Trígono a tu Júpiter Natal,2025-01-18,Luna,Trígono,Júpiter
Mercurio (directo) por tránsito esta en Trígono a tu Urano Natal,2025-01-18,Mercurio,Trígono,Urano
Luna (directo) por tránsito esta en Conjunción a tu Marte Natal,2025-01-18,Luna,Conjunción,Marte
Mercurio (directo) por tránsito esta en Trígono a tu Plutón Natal,2025-01-19,Mercurio,Trígono,Plutón
Luna (directo) por tránsito esta en Conjunción a tu Luna Natal,2025-01-20,Luna,Conjunción,Luna
Mercurio (directo) por tránsito esta en Sextil a tu Neptuno Natal,2025-01-21,Mercurio,Sextil,Neptuno
Venus (directo) por tránsito esta en Trígono a tu Neptuno Natal,2025-01-22,Venus,Trígono,Neptuno
Luna (directo) por tránsito esta en Sextil a tu Urano Natal,2025-01-22,Luna,Sextil,Urano
Luna (directo) por tránsito esta en Sextil a tu Plutón Natal,2025-01-23,Luna,Sextil,Plutón
Luna (directo) por tránsito esta en Oposición a tu Júpiter Natal,2025-01-23,Luna,Oposición,Júpiter
Luna (directo) por tránsito esta en Conjunción a tu Neptuno Natal,2025-01-23,Luna,Conjunción,Neptuno
Mercurio (directo) por tránsito esta en Trígono a tu Marte Natal,2025-01-23,Mercurio,Trígono,Marte
Luna (directo) por tránsito esta en Sextil a tu Marte Natal,2025-01-23,Luna,Sextil,Marte
Luna (directo) por tránsito esta en Conjunción a tu Venus Natal,2025-01-24,Luna,Conjunción,Venus
Luna (directo) por tránsito esta en Cuadratura a tu Urano Natal,2025-01-25,Luna,Cuadratura,Urano
Luna (directo) por tránsito esta en Cuadratura a tu Plutón Natal,2025-01-25,Luna,Cuadratura,Plutón
Luna (directo) por tránsito esta en Conjunción a tu Mercurio Natal,2025-01-25,Luna,Conjunción,Mercurio
Luna (directo) por tránsito esta en Sextil a tu Luna Natal,2025-01-25,Luna,Sextil,Luna
Luna (directo) por tránsito esta en Cuadratura a tu Marte Natal,2025-01-25,Luna,Cuadratura,Marte
Luna (directo) por tránsito esta en Conjunción a tu Sol Natal,2025-01-26,Luna,Conjunción,Sol
Luna (directo) por tránsito esta en Trígono a tu Urano Natal,2025-01-27,Luna,Trígono,Urano
Luna (directo) por tránsito esta en Trígono a tu Plutón Natal,2025-01-27,Luna,Trígono,Plutón
Luna (directo) por tránsito esta en Sextil a tu Neptuno Natal,2025-01-28,Luna,Sextil,Neptuno
Luna (directo) por tránsito esta en Cuadratura a tu Luna Natal,2025-01-28,Luna,Cuadratura,Luna
Luna (directo) por tránsito esta en Trígono a tu Marte Natal,2025-01-28,Luna,Trígono,Marte
Sol (directo) por tránsito esta en Sextil a tu Venus Natal,2025-01-29,Sol,Sextil,Venus
Mercurio (directo) por tránsito esta en Sextil a tu Venus Natal,2025-02-02,Mercurio,Sextil,Venus
Sol (directo) por tránsito esta en Sextil a tu Mercurio Natal,2025-02-07,Sol,Sextil,Mercurio
Sol (directo) por tránsito esta en Trígono a tu Luna Natal,2025-02-08,Sol,Trígono,Luna
Mercurio (directo) por tránsito esta en Sextil a tu Mercurio Natal,2025-02-08,Mercurio,Sextil,Mercurio
Mercurio (directo) por tránsito esta en Trígono a tu Luna Natal,2025-02-08,Mercurio,Trígono,Luna
Saturno (directo) por tránsito esta en Trígono a tu Neptuno Natal,2025-02-16,Saturno,Trígono,Neptuno
Mercurio (directo) por tránsito esta en Sextil a tu Sol Natal,2025-02-17,Mercurio,Sextil,Sol
Venus (directo) por tránsito esta en Trígono a tu Venus Natal,2025-02-22,Venus,Trígono,Venus
Sol (directo) por tránsito esta en Sextil a tu Sol Natal,2025-02-23,Sol,Sextil,Sol
Mercurio (directo) por tránsito esta en Trígono a tu Neptuno Natal,2025-02-24,Mercurio,Trígono,Neptuno
Sol (directo) por tránsito esta en Trígono a tu Neptuno Natal,2025-03-09,Sol,Trígono,Neptuno
Venus (retrógrado) por tránsito esta en Trígono a tu Venus Natal,2025-03-09,Venus,Trígono,Venus
Sol (directo) por tránsito esta en Trígono a tu Venus Natal,2025-03-30,Sol,Trígono,Venus
Sol (directo) por tránsito esta en Trígono a tu Mercurio Natal,2025-04-08,Sol,Trígono,Mercurio
Sol (directo) por tránsito esta en Sextil a tu Saturno Natal,2025-04-20,Sol,Sextil,Saturno
Sol (directo) por tránsito esta en Trígono a tu Sol Natal,2025-04-25,Sol,Trígono,Sol
Mercurio (directo) por tránsito esta en Trígono a tu Venus Natal,2025-04-26,Mercurio,Trígono,Venus
Mercurio (directo) por tránsito esta en Trígono a tu Mercurio Natal,2025-05-03,Mercurio,Trígono,Mercurio
Mercurio (directo) por tránsito esta en Sextil a tu Saturno Natal,2025-05-11,Mercurio,Sextil,Saturno
Mercurio (directo) por tránsito esta en Trígono a tu Sol Natal,2025-05-13,Mercurio,Trígono,Sol
Venus (directo) por tránsito esta en Trígono a tu Mercurio Natal,2025-05-25,Venus,Trígono,Mercurio
Venus (directo) por tránsito esta en Sextil a tu Saturno Natal,2025-06-07,Venus,Sextil,Saturno
Mercurio (directo) por tránsito esta en Trígono a tu Saturno Natal,2025-06-09,Mercurio,Trígono,Saturno
Venus (directo) por tránsito esta en Trígono a tu Sol Natal,2025-06-11,Venus,Trígono,Sol
Júpiter (directo) por tránsito esta en Trígono a tu Saturno Natal,2025-06-13,Júpiter,Trígono,Saturno
Mercurio (directo) por tránsito esta en Sextil a tu Júpiter Natal,2025-06-17,Mercurio,Sextil,Júpiter
Sol (directo) por tránsito esta en Trígono a tu Saturno Natal,2025-06-22,Sol,Trígono,Saturno
Sol (directo) por tránsito esta en Sextil a tu Júpiter Natal,2025-07-08,Sol,Sextil,Júpiter
Marte (directo) por tránsito esta en Trígono a tu Júpiter Natal,2025-07-15,Marte,Trígono,Júpiter
Venus (directo) por tránsito esta en Trígono a tu Saturno Natal,2025-07-31,Venus,Trígono,Saturno
Venus (directo) por tránsito esta en Sextil a tu Júpiter Natal,2025-08-14,Venus,Sextil,Júpiter
Júpiter (directo) por tránsito esta en Sextil a tu Júpiter Natal,2025-08-24,Júpiter,Sextil,Júpiter
Sol (directo) por tránsito esta en Trígono a tu Júpiter Natal,2025-09-08,Sol,Trígono,Júpiter
Mercurio (directo) por tránsito esta en Trígono a tu Júpiter Natal,2025-09-11,Mercurio,Trígono,Júpiter
Venus (directo) por tránsito esta en Trígono a tu Júpiter Natal,2025-10-02,Venus,Trígono,Júpiter
Marte (directo) por tránsito esta en Sextil a tu Urano Natal,2025-10-14,Marte,Sextil,Urano
Marte (directo) por tránsito esta en Sextil a tu Plutón Natal,2025-10-16,Marte,Sextil,Plutón
Mercurio (directo) por tránsito esta en Sextil a tu Urano Natal,2025-10-17,Mercurio,Sextil,Urano
Mercurio (directo) por tránsito esta en Sextil a tu Plutón Natal,2025-10-18,Mercurio,Sextil,Plutón
Mercurio (directo) por tránsito esta en Sextil a tu Marte Natal,2025-10-22,Mercurio,Sextil,Marte
Marte (directo) por tránsito esta en Sextil a tu Marte Natal,2025-10-24,Marte,Sextil,Marte
Sol (directo) por tránsito esta en Sextil a tu Urano Natal,2025-11-06,Sol,Sextil,Urano
Sol (directo) por tránsito esta en Sextil a tu Plutón Natal,2025-11-08,Sol,Sextil,Plutón
Sol (directo) por tránsito esta en Sextil a tu Marte Natal,2025-11-14,Sol,Sextil,Marte
Venus (directo) por tránsito esta en Sextil a tu Urano Natal,2025-11-18,Venus,Sextil,Urano
Venus (directo) por tránsito esta en Sextil a tu Plutón Natal,2025-11-19,Venus,Sextil,Plutón
Venus (directo) por tránsito esta en Sextil a tu Marte Natal,2025-11-24,Venus,Sextil,Marte
Mercurio (retrógrado) por tránsito esta en Sextil a tu Marte Natal,2025-11-25,Mercurio,Sextil,Marte
Marte (directo) por tránsito esta en Sextil a tu Luna Natal,2025-12-01,Marte,Sextil,Luna
Sol (directo) por tránsito esta en Sextil a tu Luna Natal,2025-12-11,Sol,Sextil,Luna
Venus (directo) por tránsito esta en Sextil a tu Luna Natal,2025-12-16,Venus,Sextil,Luna
Mercurio (directo) por tránsito esta en Sextil a tu Luna Natal,2025-12-25,Mercurio,Sextil,Luna
